sku,week,units,on_promo,discount_pct
SKU-BEV-01,1,11526,0,0
SKU-BEV-01,2,11481,0,0
SKU-BEV-01,3,13501,0,0
SKU-BEV-01,4,15789,1,10
SKU-BEV-01,5,14051,0,0
SKU-BEV-01,6,13141,0,0
SKU-BEV-01,7,12512,0,0
SKU-BEV-01,8,16795,1,10
SKU-BEV-01,9,14310,0,0
SKU-BEV-01,10,17983,1,20
SKU-BEV-01,11,14617,0,0
SKU-BEV-01,12,14634,0,0
SKU-BEV-01,13,13823,0,0
SKU-BEV-01,14,13034,0,0
SKU-BEV-01,15,12930,0,0
SKU-BEV-01,16,14881,0,0
SKU-BEV-01,17,13119,0,0
SKU-BEV-01,18,14350,0,0
SKU-BEV-01,19,14726,0,0
SKU-BEV-01,20,18323,1,15
SKU-BEV-01,21,12357,0,0
SKU-BEV-01,22,15624,1,10
SKU-BEV-01,23,13131,0,0
SKU-BEV-01,24,11969,0,0
SKU-BEV-01,25,13188,0,0
SKU-BEV-01,26,11738,0,0
SKU-BEV-01,27,12666,0,0
SKU-BEV-01,28,16506,1,20
SKU-BEV-01,29,11167,0,0
SKU-BEV-01,30,12562,0,0
SKU-BEV-01,31,10768,0,0
SKU-BEV-01,32,12114,0,0
SKU-BEV-01,33,11352,0,0
SKU-BEV-01,34,15828,1,20
SKU-BEV-01,35,11039,0,0
SKU-BEV-01,36,11484,0,0
SKU-BEV-01,37,14564,1,20
SKU-BEV-01,38,11603,0,0
SKU-BEV-01,39,9937,0,0
SKU-BEV-01,40,10499,0,0
SKU-BEV-01,41,10354,0,0
SKU-BEV-01,42,10628,0,0
SKU-BEV-01,43,14066,1,20
SKU-BEV-01,44,10329,0,0
SKU-BEV-01,45,11894,0,0
SKU-BEV-01,46,11901,0,0
SKU-BEV-01,47,12158,0,0
SKU-BEV-01,48,11414,0,0
SKU-BEV-01,49,11962,0,0
SKU-BEV-01,50,13107,0,0
SKU-BEV-01,51,12978,0,0
SKU-BEV-01,52,13597,0,0
SKU-BEV-01,53,12195,0,0
SKU-BEV-01,54,12687,0,0
SKU-BEV-01,55,14689,0,0
SKU-BEV-01,56,12778,0,0
SKU-BEV-01,57,18702,1,15
SKU-BEV-01,58,13175,0,0
SKU-BEV-01,59,13972,0,0
SKU-BEV-01,60,14114,0,0
SKU-BEV-01,61,15361,0,0
SKU-BEV-01,62,13982,0,0
SKU-BEV-01,63,14125,0,0
SKU-BEV-01,64,15755,0,0
SKU-BEV-01,65,15809,0,0
SKU-BEV-01,66,14539,0,0
SKU-BEV-01,67,15322,0,0
SKU-BEV-01,68,16026,0,0
SKU-BEV-01,69,14043,0,0
SKU-BEV-01,70,15587,0,0
SKU-BEV-01,71,15379,0,0
SKU-BEV-01,72,13856,0,0
SKU-BEV-01,73,14588,0,0
SKU-BEV-01,74,13244,0,0
SKU-BEV-01,75,14197,0,0
SKU-BEV-01,76,12822,0,0
SKU-BEV-01,77,13734,0,0
SKU-BEV-01,78,13197,0,0
SKU-BEV-01,79,13167,0,0
SKU-BEV-01,80,13499,0,0
SKU-BEV-01,81,12823,0,0
SKU-BEV-01,82,11599,0,0
SKU-BEV-01,83,11564,0,0
SKU-BEV-01,84,17415,1,25
SKU-BEV-01,85,12205,0,0
SKU-BEV-01,86,13651,1,10
SKU-BEV-01,87,11193,0,0
SKU-BEV-01,88,12038,0,0
SKU-BEV-01,89,12248,0,0
SKU-BEV-01,90,13844,1,10
SKU-BEV-01,91,11351,0,0
SKU-BEV-01,92,13578,1,15
SKU-BEV-01,93,10839,0,0
SKU-BEV-01,94,17092,1,25
SKU-BEV-01,95,12200,0,0
SKU-BEV-01,96,14749,1,10
SKU-BEV-01,97,17836,1,25
SKU-BEV-01,98,13274,0,0
SKU-BEV-01,99,11737,0,0
SKU-BEV-01,100,12207,0,0
SKU-BEV-01,101,12357,0,0
SKU-BEV-01,102,12426,0,0
